name,value,year,lastValue,rank
Coca-Cola,69535.3,2003.3,69841.2,
Coca-Cola,69498.6,2001.8,69429.4,
Coca-Cola,69429.4,2001.7,69360.2,
Coca-Cola,69421.2,2009.4,69249.4,
Coca-Cola,69393.8,2017.1,69733,
IBM,69387.2,2010.9,68869.4,
IBM,69384.4,2014.4,70099.3,
Coca-Cola,69360.2,2001.6,69291,
Coca-Cola,69304.2,2000.9,69663.4,
Coca-Cola,69291,2001.5,69221.8,
Coca-Cola,69249.4,2009.3,69077.6,
Coca-Cola,69229.4,2003.4,69535.3,
Coca-Cola,69221.8,2001.4,69152.6,
Microsoft,69207.5,2015.3,68695,
Microsoft,69170.4,2000.2,69683.2,
Coca-Cola,69152.6,2001.3,69083.4,
Coca-Cola,69083.4,2001.2,69014.2,
Coca-Cola,69077.6,2009.2,68905.8,
Coca-Cola,69054.6,2017.2,69393.8,
Coca-Cola,69014.2,2001.1,68945,
Coca-Cola,68945,2001,69304.2,
Coca-Cola,68923.5,2003.5,69229.4,
Coca-Cola,68905.8,2009.1,68734,
IBM,68869.4,2010.8,68351.6,
Coca-Cola,68734,2009,68527.3,
Coca-Cola,68715.4,2017.3,69054.6,
Microsoft,68695,2015.2,68182.5,
IBM,68669.5,2014.5,69384.4,
Microsoft,68657.6,2000.3,69170.4,
Coca-Cola,68617.6,2003.6,68923.5,
Coca-Cola,68527.3,2008.9,68320.6,
Amazon,68392.8,2017.1,64796,
Coca-Cola,68376.2,2017.4,68715.4,
IBM,68351.6,2010.7,67833.8,
Coca-Cola,68320.6,2008.8,68113.9,
Coca-Cola,68311.7,2003.7,68617.6,
Google,68285.1,2011.9,66844.2,
Microsoft,68182.5,2015.1,67670,
Microsoft,68144.8,2000.4,68657.6,
Coca-Cola,68113.9,2008.7,67907.2,
Coca-Cola,68037,2017.5,68376.2,
Coca-Cola,68005.8,2003.8,68311.7,
IBM,67954.6,2014.6,68669.5,
Apple,67952.8,2011.8,63645.2,
Coca-Cola,67907.2,2008.6,67700.5,
IBM,67833.8,2010.6,67316,
Coca-Cola,67700.5,2008.5,67493.8,
Coca-Cola,67699.9,2003.9,68005.8,
Coca-Cola,67697.8,2017.6,68037,
Microsoft,67670,2015,67018.4,
Microsoft,67632,2000.5,68144.8,
Coca-Cola,67525,2005,67511.9,
Coca-Cola,67511.9,2004.9,67498.8,
Coca-Cola,67498.8,2004.8,67485.7,
Coca-Cola,67493.8,2008.4,67287.1,
Coca-Cola,67485.7,2004.7,67472.6,
Coca-Cola,67472.6,2004.6,67459.5,
Coca-Cola,67472.5,2005.1,67525,
Coca-Cola,67459.5,2004.5,67446.4,
Coca-Cola,67446.4,2004.4,67433.3,
Coca-Cola,67433.3,2004.3,67420.2,
Coca-Cola,67420.2,2004.2,67407.1,
Coca-Cola,67420,2005.2,67472.5,
Coca-Cola,67407.1,2004.1,67394,
Coca-Cola,67394,2004,67699.9,
Coca-Cola,67367.5,2005.3,67420,
Coca-Cola,67358.6,2017.7,67697.8,
IBM,67316,2010.5,66798.2,
Coca-Cola,67315,2005.4,67367.5,
Coca-Cola,67287.1,2008.3,67080.4,
Coca-Cola,67262.5,2005.5,67315,
IBM,67239.7,2014.7,67954.6,
Coca-Cola,67210,2005.6,67262.5,
Coca-Cola,67157.5,2005.7,67210,
